Agency Name,State Name [District] Latest available year,Prekindergarten Students - American Indian/Alaska Native [District] 2016-17,Prekindergarten Students - Asian or Asian/Pacific Islander [District] 2016-17,Prekindergarten Students - Hispanic [District] 2016-17,Prekindergarten Students - Black [District] 2016-17,Prekindergarten Students - White [District] 2016-17,Prekindergarten Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Prekindergarten Students Two or More Races [District] 2016-17,Kindergarten Students - American Indian/Alaska Native [District] 2016-17,Kindergarten Students - Asian or Asian/Pacific Islander [District] 2016-17,Kindergarten Students - Hispanic [District] 2016-17,Kindergarten Students - Black [District] 2016-17,Kindergarten Students White [District] 2016-17,Kindergarten Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Kindergarten Students Two or More Races [District] 2016-17,Grade 1 Students - American Indian/Alaska Native [District] 2016-17,Grade 1 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 1 Students - Hispanic [District] 2016-17,Grade 1 Students - Black [District] 2016-17,Grade 1 Students - White [District] 2016-17,Grade 1 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 1 Students - Two or More Races [District] 2016-17,Grade 2 Students - American Indian/Alaska Native [District] 2016-17,Grade 2 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 2 Students - Hispanic [District] 2016-17,Grade 2 Students - Black [District] 2016-17,Grade 2 Students - White [District] 2016-17,Grade 2 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 2 Students - Two or More Races [District] 2016-17,Grade 3 Students - American Indian/Alaska Native [District] 2016-17,Grade 3 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 3 Students - Hispanic [District] 2016-17,Grade 3 Students - Black [District] 2016-17,Grade 3 Students - White [District] 2016-17,Grade 3 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 3 Students - Two or More Races [District] 2016-17,Grade 4 Students - American Indian/Alaska Native [District] 2016-17,Grade 4 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 4 Students - Hispanic [District] 2016-17,Grade 4 Students - Black [District] 2016-17,Grade 4 Students - White [District] 2016-17,Grade 4 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 4 Students - Two or More Races [District] 2016-17,Grade 5 Students - American Indian/Alaska Native [District] 2016-17,Grade 5 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 5 Students - Hispanic [District] 2016-17,Grade 5 Students - Black [District] 2016-17,Grade 5 Students - White [District] 2016-17,Grade 5 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 5 Students - Two or More Races [District] 2016-17
N. CO REGIONAL OCCUPATIONAL PROGRAM JPA,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
NAPA COUNTY OFFICE OF EDUCATION,California,†,†,†,†,†,†,†,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAPA COUNTY ROP,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
NAPA VALLEY UNIFIED,California,†,†,†,†,†,†,†,–,74,843,18,424,4,65,2,111,698,12,366,7,33,2,102,709,25,406,3,50,2,128,687,26,375,5,42,1,114,768,24,366,1,45,7,130,812,30,447,1,48
NATIONAL ELEMENTARY,California,†,†,†,†,†,†,†,–,84,790,14,24,2,26,1,75,677,11,22,2,25,–,76,651,20,18,5,21,1,84,620,8,23,1,19,–,92,681,12,18,7,13,3,83,706,16,17,7,20
NATOMAS UNIFIED,California,†,†,†,†,†,†,†,4,266,384,183,233,15,139,5,223,339,150,209,18,101,7,200,314,176,231,11,137,11,183,333,194,188,12,131,8,183,358,170,187,8,130,7,238,339,193,202,19,120
NEEDLES UNIFIED,California,†,†,†,†,†,†,†,11,–,29,3,53,–,5,13,–,19,4,32,–,4,13,2,15,–,26,–,2,12,2,23,1,37,–,5,24,1,20,2,41,–,2,16,1,17,2,41,–,3
NEVADA CITY ELEMENTARY,California,†,†,†,†,†,†,†,3,1,9,–,83,–,14,2,–,4,–,59,–,10,–,–,8,–,67,–,7,–,3,7,1,74,1,4,1,1,10,1,79,–,5,–,1,11,3,84,–,11
NEVADA CO CHARTER SERVICES AUTHORITY (JPA),California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
NEVADA COUNTY OFFICE OF EDUCATION,California,†,†,†,†,†,†,†,2,3,15,–,157,–,16,1,1,11,2,130,–,10,1,–,14,–,119,–,12,2,1,16,2,109,–,11,4,2,15,1,108,1,7,4,1,14,2,115,–,10
NEVADA COUNTY PUPIL TRANSPORTATION,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
NEVADA JOINT UNION HIGH,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
NEW HAVEN UNIFIED,California,†,†,†,†,†,†,†,6,412,350,47,67,12,60,11,345,313,37,60,6,43,7,346,338,37,43,15,37,5,351,273,31,57,11,41,3,356,359,46,57,19,45,2,350,349,56,58,20,47
NEW HOPE ELEMENTARY,California,†,†,†,†,†,†,†,–,–,28,–,3,–,–,–,–,13,2,2,–,1,–,–,26,1,–,–,–,–,–,19,–,2,–,–,–,1,15,1,2,–,–,–,–,16,1,2,–,1
NEW JERUSALEM ELEMENTARY,California,†,†,†,†,†,†,†,5,30,144,43,104,–,19,1,22,109,33,62,2,17,3,19,114,44,71,3,31,2,17,105,45,71,1,21,5,22,113,41,68,6,24,1,24,122,31,94,1,19
NEWARK UNIFIED,California,†,†,†,†,†,†,†,–,116,259,10,69,14,34,2,91,229,11,58,5,27,–,96,221,18,53,6,28,–,79,233,14,40,7,29,–,94,245,17,58,14,29,2,92,259,22,58,9,19
NEWCASTLE ELEMENTARY,California,†,†,†,†,†,†,†,–,25,39,4,209,–,26,1,22,24,1,176,–,18,–,30,32,2,160,–,21,1,30,22,2,167,–,28,1,39,28,2,156,–,28,1,32,18,3,153,–,24
NEWHALL,California,†,†,†,†,†,†,†,4,106,492,24,281,–,75,1,84,421,17,279,–,39,4,111,407,17,263,1,61,4,119,460,27,266,1,49,1,141,514,20,316,1,56,6,134,464,27,315,2,53
NEWMAN-CROWS LANDING UNIFIED,California,†,†,†,†,†,†,†,–,5,203,5,50,–,3,–,3,160,3,39,–,7,–,–,172,5,32,–,5,1,1,199,5,40,2,10,1,3,181,5,51,–,4,–,1,186,6,42,1,4
NEWPORT-MESA UNIFIED,California,†,†,†,†,†,†,†,–,75,803,9,691,5,105,–,79,735,7,546,5,112,2,69,688,5,590,8,92,2,87,693,12,650,10,93,1,79,801,19,633,5,96,3,86,819,18,713,9,69
NICASIO,California,†,†,†,†,†,†,†,–,–,1,–,–,–,–,–,1,2,–,2,–,–,–,–,2,–,4,–,–,–,1,2,–,2,–,–,–,–,1,–,3,–,–,–,–,2,–,5,–,–
NORRIS ELEMENTARY,California,†,†,†,†,†,†,†,6,17,135,4,295,–,48,4,15,106,5,235,–,37,3,24,102,6,225,–,24,6,21,131,9,249,–,27,7,36,125,3,260,1,37,9,29,128,9,279,–,39
NORTH COUNTY JOINT UNION ELEMENTARY,California,†,†,†,†,†,†,†,–,–,42,–,28,–,17,–,1,47,1,23,–,5,–,–,55,–,16,–,3,–,–,46,–,26,–,1,–,–,53,–,32,–,2,–,–,55,–,30,–,4
NORTH COUNTY REGIONAL OCCUPATIONAL CENTER/PROGRAM (ROC/P),California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
NORTH COW CREEK ELEMENTARY,California,†,†,†,†,†,†,†,–,–,1,–,32,–,2,1,1,1,–,25,–,2,1,1,3,–,18,–,2,–,1,6,–,16,–,3,–,1,2,–,19,–,4,2,–,1,1,26,–,2
NORTH KERN VOCATIONAL TRAINING CENTER,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
NORTH KERN VOCATIONAL TRAINING CENTER JPA,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
NORTH MONTEREY COUNTY UNIFIED,California,†,†,†,†,†,†,†,–,3,351,–,61,1,4,–,5,298,3,58,1,7,2,2,285,2,47,1,8,1,5,303,2,37,–,2,–,3,319,–,41,–,5,–,4,321,–,40,–,–
NORTH ORANGE COUNTY ROP JPA,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
NORTH ORANGE COUNTY ROP-ADULT,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
NORTH SANTA CRUZ COUNTY SELPA,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
NORTHERN CALIF. MEDI-CAL ADMIN. SERVICES JPA,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
NORTHERN HUMBOLDT UNION HIGH,California,†,†,†,†,†,†,†,–,–,1,–,6,–,–,–,–,1,–,5,–,2,–,–,–,–,6,–,2,–,–,1,–,12,–,1,–,–,–,–,6,–,1,–,–,2,–,5,–,2
NORWALK-LA MIRADA UNIFIED,California,†,†,†,†,†,†,†,3,113,1210,42,125,5,36,1,83,1093,39,117,6,17,2,100,991,30,103,9,34,2,99,1084,31,113,6,23,3,99,1129,41,116,7,19,2,98,1069,31,112,4,29
NOVATO UNIFIED,California,†,†,†,†,†,†,†,7,41,232,14,309,1,46,3,32,174,14,243,2,35,3,40,207,12,238,–,33,2,33,207,15,278,–,32,4,36,240,14,242,1,31,5,33,235,16,310,2,28
NUESTRO ELEMENTARY,California,†,†,†,†,†,†,†,2,5,11,4,35,–,2,1,9,8,4,39,–,–,–,2,9,1,31,–,7,–,7,9,3,29,–,6,–,–,6,2,40,–,2,1,5,9,3,31,–,1
NUVIEW UNION,California,†,†,†,†,†,†,†,1,4,214,50,39,2,10,1,3,162,50,23,2,10,–,4,194,44,37,–,7,2,1,174,40,35,2,5,1,2,205,43,32,–,5,2,4,212,30,45,1,7
OAK GROVE ELEMENTARY,California,†,†,†,†,†,†,†,2,256,650,32,245,13,99,3,258,523,34,205,10,92,1,234,507,36,182,5,73,1,301,532,39,187,10,80,5,259,554,34,185,9,77,5,262,611,41,218,2,80
OAK GROVE UNION ELEMENTARY,California,†,†,†,†,†,†,†,1,–,26,–,45,–,7,–,2,23,–,42,–,5,–,1,24,–,31,–,6,–,1,18,2,39,–,8,–,1,16,1,52,–,7,–,1,20,–,59,–,6
OAK PARK UNIFIED,California,†,†,†,†,†,†,†,–,73,25,4,156,1,26,2,84,24,1,115,–,11,1,86,25,4,133,–,13,–,92,24,2,162,1,14,1,93,18,3,165,–,9,1,94,29,12,193,–,13
OAK RUN ELEMENTARY,California,†,†,†,†,†,†,†,–,–,–,–,10,–,–,–,–,1,–,8,–,–,–,–,–,–,8,–,1,–,–,–,–,6,–,3,–,–,–,–,8,–,1,–,–,–,–,7,–,1
OAK VALLEY UNION ELEMENTARY,California,†,†,†,†,†,†,†,2,–,58,1,19,–,1,1,–,48,2,13,–,–,–,–,37,–,21,–,1,–,–,40,–,13,–,1,–,–,48,–,16,–,–,–,1,48,2,13,–,–
OAK VIEW UNION ELEMENTARY,California,†,†,†,†,†,†,†,–,1,28,1,12,–,1,–,–,18,–,26,1,–,–,–,16,–,17,1,1,–,1,14,–,24,–,3,–,1,21,–,24,–,3,–,–,22,–,24,–,4
OAKDALE JOINT UNIFIED,California,†,†,†,†,†,†,†,2,7,169,3,233,1,11,2,6,130,2,187,1,9,3,1,144,1,181,1,11,1,10,158,2,191,–,9,3,3,163,2,228,2,10,3,6,154,2,235,–,12
OAKLAND UNIFIED,California,†,†,†,†,†,†,†,10,595,2057,1212,642,41,333,7,539,1751,1035,541,37,302,16,547,1784,929,470,30,287,9,534,1756,1037,428,35,230,10,530,1770,988,460,30,223,12,536,1860,1033,411,39,196
OAKLEY UNION ELEMENTARY,California,†,†,†,†,†,†,†,3,38,266,56,263,7,36,1,47,268,48,170,2,11,7,30,218,53,169,2,14,5,32,276,49,154,4,19,2,35,254,56,183,4,14,6,42,251,58,184,–,32
OCEAN VIEW,California,†,†,†,†,†,†,†,2,11,277,4,30,–,4,–,5,255,4,21,–,3,–,11,249,1,19,1,4,–,11,228,6,16,–,3,–,10,244,3,16,–,3,–,12,298,2,16,1,2
OCEAN VIEW,California,†,†,†,†,†,†,†,1,114,423,10,362,3,74,4,115,368,10,298,1,55,2,123,365,9,296,3,47,3,108,331,9,354,–,37,3,150,364,11,335,2,56,3,142,382,11,361,4,44
OCEANSIDE UNIFIED,California,†,†,†,†,†,†,†,10,74,989,84,554,23,153,6,65,910,66,481,22,129,2,53,878,80,486,17,126,6,54,873,66,483,30,119,7,66,903,68,487,27,121,11,73,913,68,464,33,113
OJAI UNIFIED,California,†,†,†,†,†,†,†,–,1,79,1,118,–,8,–,1,56,–,103,–,6,–,3,71,–,88,–,4,–,1,61,3,101,–,4,1,2,81,1,99,1,5,1,3,72,–,133,1,7
OLD ADOBE UNION,California,†,†,†,†,†,†,†,1,13,186,10,215,1,23,1,11,103,3,145,1,16,–,13,114,2,104,–,13,2,9,106,2,121,1,19,2,8,117,1,108,–,11,2,9,129,4,109,3,12
ONTARIO-MONTCLAIR,California,†,†,†,†,†,†,†,20,79,2438,79,82,6,24,19,51,2045,54,72,4,24,23,46,2182,49,73,6,22,12,70,2212,54,85,3,40,17,52,1840,53,81,7,40,16,70,2245,57,66,9,50
ORANGE CENTER,California,†,†,†,†,†,†,†,–,11,45,4,11,–,7,1,8,48,8,13,–,5,2,8,43,4,20,–,3,2,6,31,5,18,–,5,2,12,39,4,28,–,3,–,11,54,5,29,–,6
ORANGE COUNTY DEPARTMENT OF EDUCATION,California,†,†,†,†,†,†,†,1,36,122,11,126,–,22,–,32,105,4,114,6,17,–,22,73,4,99,2,21,–,23,105,7,105,1,17,1,29,94,4,84,1,18,2,26,83,8,99,4,19
ORANGE UNIFIED,California,†,†,†,†,†,†,†,–,229,1417,16,589,3,109,5,211,1152,19,488,7,86,3,197,1167,18,541,2,81,3,236,1285,22,545,5,60,4,265,1176,22,538,3,56,7,252,1248,29,625,10,56
ORCHARD ELEMENTARY,California,†,†,†,†,†,†,†,2,45,40,5,7,2,7,1,38,40,3,8,2,4,–,58,28,2,7,7,8,1,36,39,4,6,4,9,–,33,37,3,5,2,4,–,57,41,4,4,1,5
ORCUTT UNION ELEMENTARY,California,†,†,†,†,†,†,†,3,7,255,6,205,1,44,3,2,203,4,187,1,41,1,5,250,1,161,–,36,3,13,242,4,215,–,28,3,11,245,3,189,1,30,1,8,264,5,226,1,35
ORICK ELEMENTARY,California,†,†,†,†,†,†,†,–,–,–,–,2,–,–,–,–,–,–,1,–,–,–,–,–,–,2,–,–,–,–,–,–,–,–,1,–,–,–,–,1,–,–,–,–,–,–,2,–,–
ORINDA UNION ELEMENTARY,California,†,†,†,†,†,†,†,3,61,13,3,213,–,18,2,52,11,3,156,–,14,1,43,13,–,194,–,23,–,57,15,1,168,–,26,1,51,19,5,211,–,21,–,48,12,2,186,–,20
ORLAND JOINT UNIFIED,California,†,†,†,†,†,†,†,–,5,111,–,55,–,–,2,6,108,1,48,–,–,3,2,95,–,58,–,1,2,3,115,–,40,–,1,5,6,89,1,42,–,2,–,3,120,1,63,–,1
ORO GRANDE,California,†,†,†,†,†,†,†,1,1,105,29,47,1,10,3,4,96,31,41,1,10,5,1,94,22,51,1,10,4,1,102,24,50,1,10,1,–,97,25,45,1,18,5,3,108,27,42,2,8
OROVILLE CITY ELEMENTARY,California,†,†,†,†,†,†,†,6,39,49,8,214,–,48,10,27,46,4,169,–,39,8,24,44,8,166,2,40,9,18,61,6,164,1,45,11,18,47,10,172,1,48,21,23,57,15,153,3,32
OROVILLE UNION HIGH,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
OUTSIDE CREEK ELEMENTARY,California,†,†,†,†,†,†,†,–,–,12,–,3,–,–,–,–,11,–,2,–,–,–,–,4,–,1,–,1,–,–,10,–,1,–,–,–,–,7,–,5,–,–,–,–,8,–,4,–,–
OWENS VALLEY UNIFIED,California,†,†,†,†,†,†,†,–,–,3,–,4,–,1,1,–,1,–,1,–,2,1,–,4,–,4,–,–,1,–,3,–,5,–,–,–,–,3,–,1,–,–,–,–,5,–,3,–,–
OXNARD,California,†,†,†,†,†,†,†,1,34,1824,28,162,4,15,1,24,1725,17,65,4,11,1,33,1742,13,52,1,3,2,32,1755,15,44,2,9,3,36,1758,21,49,3,9,3,45,1818,19,54,2,13
OXNARD UNION HIGH,California,†,†,†,†,†,†,†,–,5,13,–,34,–,8,–,11,5,1,32,–,11,–,4,16,–,36,1,3,–,12,10,2,38,–,4,1,7,14,–,40,–,4,–,3,12,–,46,–,5
PACHECO UNION ELEMENTARY,California,†,†,†,†,†,†,†,3,2,11,–,64,–,3,3,3,6,1,52,–,2,3,2,7,1,50,–,1,–,2,14,–,54,–,1,4,2,8,–,63,–,6,2,1,6,–,54,–,5
PACIFIC ELEMENTARY,California,†,†,†,†,†,†,†,–,–,8,–,10,–,1,–,–,10,–,8,–,1,–,–,3,–,12,–,1,–,–,6,–,7,–,–,–,–,2,–,15,–,3,–,1,4,–,7,–,2
PACIFIC GROVE UNIFIED,California,†,†,†,†,†,†,†,1,21,33,3,128,–,15,–,14,20,2,101,1,13,–,22,27,1,93,–,15,–,9,25,3,89,2,16,1,12,25,3,108,–,11,1,7,28,–,98,1,12
PACIFIC UNION ELEMENTARY,California,†,†,†,†,†,†,†,2,–,10,–,58,–,14,1,–,17,–,41,–,8,2,3,21,1,36,–,6,3,1,18,2,39,–,8,1,1,15,1,41,–,5,1,–,10,1,34,–,10
PACIFIC UNION ELEMENTARY,California,†,†,†,†,†,†,†,–,2,43,1,9,–,–,–,–,27,–,4,–,–,–,–,51,1,3,–,1,–,4,34,–,3,–,–,–,1,37,–,5,–,1,3,2,37,1,2,–,–
PACIFICA,California,†,†,†,†,†,†,†,–,74,106,3,164,2,53,1,58,97,3,131,–,59,–,50,71,1,132,3,39,1,58,69,10,136,2,42,2,54,88,4,148,4,48,1,45,100,5,142,5,62
PAJARO VALLEY UNIFIED,California,†,†,†,†,†,†,†,2,18,1319,4,406,–,19,2,12,1313,8,233,–,7,2,29,1367,5,214,2,6,3,20,1389,11,231,1,4,–,28,1443,7,226,–,–,3,30,1400,13,285,6,6
PAJARO VALLEY UNIFIED SELPA,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
PALERMO UNION ELEMENTARY,California,†,†,†,†,†,†,†,8,4,45,1,76,–,13,6,2,32,1,67,–,9,7,5,51,2,49,–,16,9,8,54,–,72,–,10,4,4,48,2,63,–,11,11,7,55,–,63,–,14
PALM SPRINGS UNIFIED,California,†,†,†,†,†,†,†,4,41,1501,70,172,4,49,4,42,1310,81,167,3,50,7,35,1284,71,169,–,48,7,34,1377,76,205,1,42,12,49,1374,105,215,1,40,6,47,1512,76,236,1,45
PALMDALE ELEMENTARY,California,†,†,†,†,†,†,†,20,26,1959,383,157,6,57,12,28,1626,311,123,4,55,16,35,1628,349,99,1,29,10,36,1627,350,124,2,18,16,27,1704,341,136,2,16,22,35,1809,352,160,7,13
PALO ALTO UNIFIED,California,†,†,†,†,†,†,†,–,234,142,15,311,6,100,–,251,126,20,272,6,115,–,265,121,16,332,12,94,–,334,116,10,308,8,93,–,276,112,16,382,8,141,5,338,133,18,377,6,105
PALO VERDE UNIFIED,California,†,†,†,†,†,†,†,2,5,205,20,30,–,5,2,1,164,17,40,1,4,1,3,146,9,28,–,7,–,–,155,21,45,–,5,–,1,153,14,47,–,10,1,1,177,18,39,2,7
PALO VERDE UNION ELEMENTARY,California,†,†,†,†,†,†,†,1,–,64,1,15,–,–,1,–,45,–,4,–,2,1,–,44,–,5,–,–,–,–,44,–,6,–,1,2,–,47,–,13,–,1,–,–,59,–,4,–,–
PALOS VERDES PENINSULA UNIFIED,California,†,†,†,†,†,†,†,–,242,123,5,367,2,94,3,218,109,17,297,1,79,–,191,99,8,299,1,65,4,236,90,16,309,1,61,1,230,103,17,375,1,57,3,241,89,20,376,2,49
PANAMA-BUENA VISTA UNION,California,†,†,†,†,†,†,†,13,212,1338,213,496,8,89,5,188,1116,152,412,11,56,10,163,1057,181,429,12,48,5,172,1174,182,436,13,48,4,151,999,138,390,10,42,1,158,1131,174,416,17,34
PANOCHE ELEMENTARY,California,†,†,†,†,†,†,†,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,–,–,1,–,–,–,–,0,0,0,0,0,0,0,–,–,2,–,–,–,–
PARADISE ELEMENTARY,California,†,†,†,†,†,†,†,–,–,14,–,–,–,10,–,–,2,–,2,–,18,–,–,2,1,1,–,11,–,–,17,–,1,–,10,–,–,1,–,–,–,19,–,–,5,–,1,–,18
PARADISE UNIFIED,California,†,†,†,†,†,†,†,7,4,58,3,294,–,20,7,–,51,4,229,–,18,3,3,35,1,240,2,13,4,5,47,1,248,–,27,7,4,37,2,237,–,20,8,4,51,2,248,1,28
PARAMOUNT UNIFIED,California,†,†,†,†,†,†,†,2,18,1064,85,14,6,8,–,15,926,82,10,7,16,–,9,888,75,20,6,7,3,10,960,79,8,6,10,1,12,940,81,15,9,11,1,20,1135,98,14,7,5
PARLIER UNIFIED,California,†,†,†,†,†,†,†,1,1,331,–,9,–,–,–,–,274,–,2,–,1,1,2,278,1,4,–,–,–,–,244,–,3,–,–,1,1,227,–,1,–,–,1,–,303,–,–,–,–
PARTNERS IN NUTRITION COOPERATIVE,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
PASADENA UNIFIED,California,†,†,†,†,†,†,†,7,156,913,192,358,2,79,4,133,851,175,274,2,57,6,116,790,163,274,4,48,5,118,843,206,291,5,38,5,101,839,199,303,3,41,6,119,845,183,273,2,45
PASO ROBLES JOINT UNIFIED,California,†,†,†,†,†,†,†,4,3,344,3,226,–,20,–,2,260,10,180,–,23,–,2,236,6,163,2,16,–,6,280,8,171,1,23,2,4,301,6,163,1,16,2,7,286,4,208,–,10
PATTERSON JOINT UNIFIED,California,†,†,†,†,†,†,†,1,8,389,23,63,5,19,1,15,331,17,34,8,23,3,16,305,15,48,11,16,2,16,349,32,46,3,16,2,18,331,23,58,5,17,–,12,384,24,56,6,11
PENINSULA UNION,California,†,†,†,†,†,†,†,1,–,–,–,5,–,–,–,–,–,–,2,–,–,–,–,1,–,1,–,1,–,–,–,1,4,–,–,–,–,–,–,3,–,–,–,–,–,–,3,–,–
PENN VALLEY UNION ELEMENTARY,CALIFORNIA,†,†,†,†,†,†,†,1,–,6,1,55,–,8,1,–,3,–,41,–,3,–,1,7,–,62,–,8,–,2,6,1,58,–,2,1,–,12,–,56,–,4,–,3,9,–,40,–,5
PERRIS ELEMENTARY,California,†,†,†,†,†,†,†,–,5,789,72,36,1,2,1,7,719,72,38,1,1,–,8,659,57,23,2,–,1,4,680,60,28,–,–,–,6,735,55,31,3,–,3,9,740,58,29,1,–
PERRIS UNION HIGH,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,–,–,59,2,3,–,2
PETALUMA CITY ELEMENTARY,California,†,†,†,†,†,†,†,4,10,108,2,190,2,24,–,5,103,3,178,–,13,–,5,112,2,168,1,17,–,7,102,4,167,–,23,1,8,113,3,205,1,8,6,9,103,7,209,1,7
PETALUMA CITY ELEMENTARY/JOINT UNION HIGH,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
PETALUMA JOINT UNION HIGH,California,†,†,†,†,†,†,†,1,1,10,1,32,–,6,–,–,8,–,30,–,2,1,–,6,–,31,–,1,–,–,12,1,37,–,3,–,1,5,3,32,–,3,–,–,6,2,40,–,–
PIEDMONT CITY UNIFIED,California,†,†,†,†,†,†,†,–,22,19,1,101,1,37,–,32,12,1,74,–,29,–,21,13,2,86,–,35,–,27,18,2,104,–,36,–,27,24,2,134,–,40,–,20,18,2,133,–,35
PIERCE JOINT UNIFIED,California,†,†,†,†,†,†,†,–,1,94,–,27,–,3,–,1,76,–,18,–,1,–,1,82,–,13,–,4,–,1,89,3,20,–,2,–,1,91,1,17,1,1,–,3,100,3,27,–,2
PINE RIDGE ELEMENTARY,California,†,†,†,†,†,†,†,–,–,2,–,10,–,–,–,–,3,–,11,–,–,–,–,–,–,7,–,–,–,–,–,–,10,–,–,–,–,–,–,9,–,–,–,–,–,–,12,–,–
PINER-OLIVET UNION ELEMENTARY,California,†,†,†,†,†,†,†,1,16,69,3,80,2,14,3,12,68,7,52,2,17,2,12,74,6,65,1,11,1,5,60,6,46,1,10,2,12,68,4,46,1,10,7,8,84,4,69,1,10
PIONEER UNION ELEMENTARY,California,†,†,†,†,†,†,†,–,–,3,–,2,–,1,–,–,3,–,3,–,1,–,–,–,–,5,–,2,–,–,1,–,8,–,1,1,–,2,–,4,–,–,–,–,1,–,5,–,2
PIONEER UNION ELEMENTARY,California,†,†,†,†,†,†,†,–,–,10,–,25,–,3,–,–,8,–,19,–,4,1,–,4,–,22,–,6,–,–,5,–,23,–,8,–,–,7,–,16,–,5,–,1,6,–,22,–,3
PIONEER UNION ELEMENTARY,California,†,†,†,†,†,†,†,2,9,88,8,78,3,7,2,17,66,5,65,1,3,3,12,93,9,53,1,1,1,9,78,9,67,–,–,3,17,86,12,70,5,–,5,13,77,7,74,2,2
PITTSBURG UNIFIED,California,†,†,†,†,†,†,†,2,75,624,137,63,14,63,1,59,548,108,54,9,49,1,66,560,130,54,7,35,3,67,579,132,50,11,31,–,46,497,140,39,7,35,2,73,621,155,42,18,34
